specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
int_02_01,0002,4,1560,445,1321,486,242.4912,275.5573,-9.73
int_02_01,0002,5,1321,486,1279,616,136.6163,155.2452,-72.10
int_02_01,0002,6,1292,648,1595,731,314.1624,357.0016,15.32
int_02_01,0002,7,1595,731,1677,873,163.9756,186.3353,60.00
int_02_01,0002,8,1641,925,1322,984,324.4102,368.6468,-10.48
int_02_01,0002,9,1322,984,1250,1097,133.9888,152.2595,-57.50
int_02_01,0002,10,1277,1150,1586,1237,321.0140,364.7875,15.72
int_02_01,0002,11,1586,1237,1657,1378,157.8670,179.3938,63.27
int_02_01,0002,12,1657,1378,1308,1486,365.3286,415.1448,-17.19
int_02_01,0002,13,1308,1486,1255,1586,113.1769,128.6096,-62.08
int_02_01,0002,14,1286,1646,1601,1724,324.5135,368.7641,13.91
int_02_01,0002,15,1601,1724,1670,1840,134.9704,153.3749,59.25
int_02_01,0002,16,1670,1840,1572,1927,131.0458,148.9152,-41.60
int_02_01,0002,17,1572,1927,1306,1978,270.8450,307.7774,-10.85
int_02_01,0003,0,1519,0,1651,73,150.8410,171.4097,28.94
int_02_01,0003,1,1651,73,1669,201,129.2594,146.8852,82.00
int_02_01,0003,2,1669,201,1326,306,358.7116,407.6255,-17.02
int_02_01,0003,3,1343,441,1619,520,287.0836,326.2303,15.97
int_02_01,0003,4,1619,520,1694,689,184.8946,210.1068,66.07
int_02_01,0003,5,1694,689,1363,776,342.2426,388.9108,-14.73
int_02_01,0003,6,1363,776,1300,883,124.1692,141.1010,-59.51
int_02_01,0003,7,1324,941,1620,1027,308.2402,350.2718,16.20
int_02_01,0003,8,1620,1027,1688,1175,162.8742,185.0837,65.32
int_02_01,0003,9,1688,1175,1513,1274,201.0622,228.4790,-29.50
int_02_01,0003,10,1513,1274,1356,1281,157.1560,178.5858,-2.55
int_02_01,0003,11,1356,1281,1299,1389,122.1188,138.7709,-62.18
int_02_01,0003,12,1325,1447,1628,1528,313.6399,356.4079,14.97
int_02_01,0003,13,1628,1528,1707,1673,165.1242,187.6405,61.42
int_02_01,0003,14,1689,1698,1351,1780,347.8045,395.2312,-13.64
int_02_01,0003,15,1351,1780,1278,1891,132.8533,150.9692,-56.67
int_02_01,0003,16,1305,1943,1631,2047,342.1871,388.8477,17.69
int_02_01,0004,0,1596,0,1343,53,258.4918,293.7397,-11.83
int_02_01,0004,1,1343,53,1298,137,95.2943,108.2886,-61.82
int_02_01,0004,2,1298,137,1325,219,86.3308,98.1028,71.77
int_02_01,0004,3,1325,219,1577,296,263.5014,299.4325,16.99
int_02_01,0004,4,1577,296,1710,479,226.2256,257.0737,53.99
int_02_01,0004,5,1710,479,1345,549,371.6517,422.3301,-10.86
int_02_01,0004,6,1345,549,1276,677,145.4132,165.2417,-61.67
int_02_01,0004,7,1291,735,1606,825,327.6049,372.2772,15.95
int_02_01,0004,8,1606,825,1668,909,104.4031,118.6395,53.57
int_02_01,0004,9,1655,997,1322,1099,348.2714,395.7617,-17.03
int_02_01,0004,10,1322,1099,1332,1231,132.3782,150.4293,85.67
int_02_01,0004,11,1332,1231,1613,1312,292.4414,332.3188,16.08
int_02_01,0004,12,1613,1312,1685,1458,162.7882,184.9860,63.75
int_02_01,0004,13,1680,1497,1359,1568,328.7583,373.5877,-12.47
int_02_01,0004,14,1359,1568,1289,1678,130.3840,148.1632,-57.53
int_02_01,0004,15,1316,1732,1634,1839,335.5190,381.2704,18.60
int_02_01,0004,16,1634,1839,1671,1985,150.6154,171.1533,75.78
int_02_01,0004,17,1671,1985,1546,2047,139.5314,158.5579,-26.38
int_02_01,0005,0,1401,0,1595,79,209.4684,238.0315,22.16
int_02_01,0005,1,1595,79,1657,236,168.7987,191.8161,68.45
int_02_01,0005,2,1657,236,1326,347,349.1160,396.7215,-18.54
int_02_01,0005,3,1326,347,1329,461,114.0395,129.5899,88.49
int_02_01,0005,4,1313,388,1351,502,120.1666,136.5525,71.57
int_02_01,0005,5,1351,502,1569,579,231.1990,262.7254,19.45
int_02_01,0005,6,1569,579,1650,727,168.7157,191.7218,61.31
int_02_01,0005,7,1650,727,1555,811,126.8109,144.1028,-41.48
int_02_01,0005,8,1555,811,1335,848,223.0897,253.5102,-9.55
int_02_01,0005,9,1335,848,1288,933,97.1288,110.3733,-61.06
int_02_01,0005,10,1288,933,1317,1014,86.0349,97.7666,70.30
int_02_01,0005,11,1317,1014,1569,1090,263.2109,299.1024,16.78
int_02_01,0005,12,1569,1090,1662,1246,181.6177,206.3831,59.20
int_02_01,0005,13,1644,1278,1334,1347,317.5862,360.8923,-12.55
int_02_01,0005,14,1334,1347,1266,1477,146.7106,166.7161,-62.39
int_02_01,0005,15,1281,1530,1594,1620,325.6824,370.0924,16.04
int_02_01,0005,16,1594,1620,1663,1728,128.1601,145.6360,57.43
int_02_01,0005,17,1663,1728,1564,1829,141.4284,160.7136,-45.57
int_02_01,0005,18,1564,1829,1311,1896,261.7212,297.4095,-14.83
int_02_01,0005,19,1311,1896,1319,2022,126.2537,143.4697,86.37
int_02_01,0006,0,1599,0,1618,102,103.7545,117.9025,79.45
int_02_01,0006,1,1652,116,1355,173,302.4202,343.6583,-10.86
int_02_01,0006,2,1355,173,1299,326,162.9264,185.1430,-69.90
int_02_01,0006,3,1299,326,1551,435,274.5633,312.0027,23.39
int_02_01,0006,4,1551,435,1636,582,169.8058,192.9605,59.96
int_02_01,0006,5,1625,634,1347,692,283.9859,322.7102,-11.78
int_02_01,0006,6,1347,692,1296,809,127.6323,145.0362,-66.45
int_02_01,0006,7,1324,875,1566,945,251.9206,286.2725,16.13
int_02_01,0006,8,1566,945,1648,1082,159.6653,181.4372,59.10
int_02_01,0006,9,1650,1129,1325,1232,340.9311,387.4204,-17.58
int_02_01,0006,10,1325,1232,1301,1319,90.2497,102.5561,-74.58
int_02_01,0006,11,1301,1319,1341,1393,84.1190,95.5894,61.61
int_02_01,0006,12,1341,1393,1570,1477,243.9201,277.1810,20.14
int_02_01,0006,13,1570,1477,1642,1629,168.1904,191.1248,64.65
int_02_01,0006,14,1642,1629,1513,1715,155.0387,176.1798,-33.69
int_02_01,0006,15,1513,1715,1325,1741,189.7894,215.6690,-7.87
int_02_01,0006,16,1325,1741,1277,1826,97.6166,110.9276,-60.55
int_02_01,0006,17,1308,1903,1527,1957,225.5593,256.3166,13.85
int_02_01,0006,18,1527,1957,1613,2047,124.4829,141.4574,46.30
int_02_01,0007,0,1254,0,1267,95,95.8853,108.9603,82.21
int_02_01,0007,1,1267,95,1539,185,286.5031,325.5706,18.31
int_02_01,0007,2,1539,185,1590,321,145.2481,165.0541,69.44
int_02_01,0007,3,1615,308,1594,353,49.6588,56.4303,-64.98
int_02_01,0007,4,1569,365,1323,413,250.6392,284.8163,-11.04
int_02_01,0007,5,1323,413,1252,543,148.1249,168.3233,-61.36
int_02_01,0007,6,1277,600,1539,685,275.4433,313.0027,17.97
int_02_01,0007,7,1539,685,1618,842,175.7555,199.7215,63.29
int_02_01,0007,8,1612,866,1352,929,267.5238,304.0034,-13.62
int_02_01,0007,9,1352,929,1278,1081,169.0562,192.1087,-64.04
int_02_01,0007,10,1278,1081,1547,1196,292.5509,332.4431,23.15
int_02_01,0007,11,1547,1196,1627,1363,185.1729,210.4231,64.40
int_02_01,0007,12,1618,1392,1340,1452,284.4011,323.1821,-12.18
int_02_01,0007,13,1340,1452,1283,1577,137.3827,156.1162,-65.49
int_02_01,0007,14,1309,1632,1569,1713,272.3252,309.4594,17.30
int_02_01,0007,15,1569,1713,1640,1878,179.6274,204.1214,66.72
int_02_01,0007,16,1632,1904,1322,1990,321.7079,365.5760,-15.51
