specimen_name,scan_number,total_contact_length_microns,total_contact_length_mm,SAEF,MID_mm,VIR,CAT_HORIZONTAL_len_mm,CAT_CLOSING_len_mm,CAT_OPENING_UPPER_len_mm,CAT_OPENING_LOWER_len_mm
slo_83_01,0013,3001.9452,3.0019,1.3149,0.4795,0.2126,0.0000,1.6738,0.9021,0.4260
slo_83_01,0014,3082.6745,3.0827,1.3483,0.5250,0.2096,0.0000,1.9055,0.9400,0.2372
slo_83_01,0015,2949.0978,2.9491,1.2678,0.4114,0.1792,0.1246,1.4077,1.0821,0.3347
slo_84_01,0001,4174.0381,4.1740,1.7944,0.6523,0.2028,0.4029,1.0232,1.5188,1.2292
slo_84_01,0002,3897.2125,3.8972,1.6754,0.5466,0.2079,0.0000,1.4463,1.4068,1.0441
slo_84_01,0003,3977.5293,3.9775,1.7786,0.5909,0.2021,0.0000,1.2699,1.6126,1.0950
slo_84_01,0004,4265.8709,4.2659,1.8742,0.6227,0.2193,0.0000,1.6915,1.3976,1.1768
slo_84_01,0005,4078.0973,4.0781,1.7532,0.5625,0.2173,0.0000,1.5192,1.3047,1.2542
slo_84_01,0006,4228.6737,4.2287,1.8179,0.6568,0.1946,0.0000,1.8268,1.2965,1.1054
slo_84_01,0007,4096.0113,4.0960,1.7853,0.6750,0.2225,0.0000,1.6785,1.3070,1.1105
slo_84_01,0008,4315.9991,4.3160,1.8554,0.6261,0.2146,0.0000,1.5084,1.4182,1.3894
slo_84_01,0009,4790.6845,4.7907,2.0595,0.5545,0.2491,0.0000,1.2221,2.1261,1.4425
slo_84_01,0010,4429.2897,4.4293,1.9041,0.5875,0.2315,0.0000,1.4858,1.5182,1.4252
slo_84_01,0011,4561.1616,4.5612,1.9608,0.6648,0.2319,0.0000,1.5175,1.4134,1.6303
slo_84_01,0012,4123.8423,4.1238,1.7728,0.4932,0.2174,0.1651,1.3370,1.3223,1.2995
slo_84_01,0013,4174.9427,4.1749,1.7948,0.6568,0.2004,0.3707,1.2110,1.4204,1.1729
slo_84_01,0014,4291.6427,4.2916,1.8874,0.6284,0.2491,0.3549,1.4182,1.3606,1.1580
slo_84_01,0015,4386.9068,4.3869,1.9351,0.7227,0.2400,0.0000,1.7429,1.3899,1.2540
slo_85_01,0001,4012.1881,4.0122,1.7282,0.6545,0.2112,0.5895,1.4088,1.5157,0.4982
slo_85_01,0002,3865.2466,3.8652,1.6715,0.4545,0.2406,0.0000,1.3030,1.6099,0.9523
slo_85_01,0003,4095.2092,4.0952,1.7605,0.5057,0.2204,0.0000,1.0947,1.9431,1.0574
slo_85_01,0004,3844.8504,3.8449,1.6833,0.4977,0.2150,0.0000,1.0625,1.7917,0.9907
slo_85_01,0005,3665.6962,3.6657,1.5759,0.4875,0.1898,0.0000,0.8201,1.8645,0.9811
slo_85_01,0006,3657.1029,3.6571,1.6303,0.4966,0.1767,0.4674,0.7510,1.9335,0.5052
slo_85_01,0007,3708.0031,3.7080,1.6082,0.4705,0.1925,0.2289,0.7410,1.9034,0.8347
slo_85_01,0008,3807.0529,3.8071,1.6718,0.4864,0.2179,0.3732,1.0612,1.9213,0.4513
slo_85_01,0009,3680.3326,3.6803,1.5822,0.4625,0.1958,0.7861,0.9777,1.8453,0.0712
slo_85_01,0010,3685.9790,3.6860,1.5846,0.4273,0.1885,0.2272,1.0142,1.8204,0.6242
slo_85_01,0011,3604.1428,3.6041,1.5494,0.4432,0.1928,0.1382,1.1510,1.6522,0.6627
slo_85_01,0012,3649.1748,3.6492,1.5688,0.4375,0.2246,0.2399,0.8994,1.8121,0.6978
slo_85_01,0013,3680.8350,3.6808,1.5824,0.4545,0.2125,0.4196,1.0854,1.8021,0.3737
slo_85_01,0014,3509.7748,3.5098,1.5088,0.3977,0.2207,0.2855,1.0161,1.8147,0.3934
slo_85_01,0015,3507.2952,3.5073,1.5795,0.4250,0.2322,0.2570,0.8694,1.7979,0.5831
slo_85_01,0016,3691.4028,3.6914,1.6034,0.4580,0.2380,0.3982,0.8310,1.9433,0.5189
slo_86_01,0001,5404.3369,5.4043,2.3233,0.6330,0.2221,0.1847,1.1228,1.8494,2.2474
slo_86_01,0002,4262.2174,4.2622,1.8323,0.5977,0.2202,0.0000,1.4228,1.5117,1.3277
slo_86_01,0003,4235.5873,4.2356,1.8209,0.5295,0.2131,0.0000,1.4797,1.5959,1.1600
slo_86_01,0004,3911.3561,3.9114,1.7340,0.5523,0.2131,0.0000,1.4566,1.3978,1.0569
slo_86_01,0005,3923.5150,3.9235,1.6867,0.5261,0.1982,0.0000,1.2825,1.4473,1.1937
slo_86_01,0006,4368.6607,4.3687,1.8781,0.6068,0.2147,0.0000,1.4878,1.4381,1.4428
slo_86_01,0007,4055.5348,4.0555,1.7925,0.5807,0.2102,0.1951,1.5817,1.4067,0.8721
slo_86_01,0008,4253.0602,4.2531,1.8428,0.5273,0.2311,0.1708,1.7502,1.4857,0.8464
slo_86_01,0009,4315.2894,4.3153,1.8551,0.5489,0.2301,0.1686,1.8328,1.4208,0.8930
slo_86_01,0010,4463.6753,4.4637,1.9189,0.5625,0.2355,0.2318,1.7900,1.3840,1.0579
slo_86_01,0011,4238.7170,4.2387,1.8222,0.6159,0.2117,0.2061,1.5161,1.4714,1.0452
slo_86_01,0012,4520.6874,4.5207,1.9434,0.5580,0.2241,0.0000,1.3422,1.7343,1.4442
slo_86_01,0013,4386.7117,4.3867,1.8858,0.5852,0.2291,0.0000,1.6217,1.3426,1.4224
slo_86_01,0014,4888.2445,4.8882,2.1903,0.6659,0.2270,0.0000,1.8423,1.4256,1.6203
slo_86_01,0015,4782.5935,4.7826,2.1065,0.6375,0.2293,0.0000,1.6068,1.5758,1.6001
