specimen_name,scan_number,segment_index,start_x,start_y,end_x,end_y,length_pixels,length_microns,angle_degrees
slo_40_01,0015,9,1721,1494,2030,1591,323.8673,368.0298,17.43
slo_40_01,0015,10,2030,1591,2323,1754,335.2879,381.0078,29.09
slo_40_01,0015,11,2323,1754,2368,1831,89.1852,101.3465,59.70
slo_40_01,0015,12,2368,1831,2318,1985,161.9136,183.9921,-72.01
slo_40_01,0015,13,2318,1985,2515,2047,206.5260,234.6879,17.47
slo_40_01,0016,0,19,0,279,59,266.6102,302.9652,12.79
slo_40_01,0016,1,279,59,408,210,198.6001,225.6812,49.49
slo_40_01,0016,2,408,210,635,322,253.1265,287.6428,26.26
slo_40_01,0016,3,635,322,647,521,199.3615,226.5464,86.55
slo_40_01,0016,4,647,521,921,588,282.0727,320.5361,13.74
slo_40_01,0016,5,921,588,1252,820,404.2091,459.3271,35.03
slo_40_01,0016,6,1252,820,1235,1016,196.7359,223.5628,-85.04
slo_40_01,0016,7,1235,1016,1571,1101,346.5848,393.8451,14.20
slo_40_01,0016,8,1571,1101,1836,1298,330.2030,375.2294,36.63
slo_40_01,0016,9,1836,1298,1816,1547,249.8019,283.8649,-85.41
slo_40_01,0016,10,1816,1547,2117,1632,312.7715,355.4210,15.77
slo_40_01,0016,11,2117,1632,2419,1805,348.0417,395.5006,29.81
slo_40_01,0016,12,2455,1862,2408,2047,190.8769,216.9049,-75.75
slo_40_01,0017,0,260,0,321,75,96.6747,109.8573,50.88
slo_40_01,0017,1,321,75,281,266,195.1435,221.7533,-78.17
slo_40_01,0017,2,281,266,837,501,603.6232,685.9333,22.91
slo_40_01,0017,3,837,501,916,592,120.5073,136.9396,49.04
slo_40_01,0017,4,916,592,885,751,161.9938,184.0833,-78.97
slo_40_01,0017,5,885,751,1148,816,270.9133,307.8550,13.88
slo_40_01,0017,6,1148,816,1260,957,180.0694,204.6237,51.54
slo_40_01,0017,7,1260,957,1477,1060,240.2041,272.9583,25.39
slo_40_01,0017,8,1521,1117,1496,1268,153.0555,173.9262,-80.60
slo_40_01,0017,9,1496,1268,1785,1346,299.3409,340.1591,15.10
slo_40_01,0017,10,1785,1346,2111,1566,393.2887,446.9175,34.01
slo_40_01,0017,11,2111,1566,2083,1765,200.9602,228.3631,-81.99
slo_40_01,0017,12,2083,1765,2422,1848,349.0129,396.6043,13.76
slo_40_01,0017,13,2422,1848,2680,2047,325.8297,370.2598,37.64
slo_40_01,0018,0,19,0,322,142,334.6237,380.2530,25.11
slo_40_01,0018,1,322,142,260,269,141.3259,160.5971,-63.98
slo_40_01,0018,2,260,269,321,376,123.1666,139.9615,60.31
